Date,Ticker,Open,High,Low,Close,Adj_Close,Volume
2021-02-01,AAPL,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.2244415283203,106239800
2021-02-01,MSFT,235.05999755859375,242.5,232.42999267578125,239.64999389648438,228.9342041015625,33314200
2021-02-01,NVDA,13.053250312805176,13.270750045776367,12.902750015258789,13.237000465393066,13.18380069732666,217204000
2021-02-01,TSLA,271.42999267578125,280.6666564941406,265.1866760253906,279.9366760253906,279.9366760253906,76174200
2021-02-02,AAPL,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,131.04962158203125,83305400
2021-02-02,MSFT,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,228.80043029785156,25916300
2021-02-02,NVDA,13.398750305175781,13.571999549865723,13.285499572753906,13.556750297546387,13.502265930175781,220440000
2021-02-02,TSLA,281.55999755859375,293.5,280.73333740234375,290.92999267578125,290.92999267578125,73038600
2021-02-03,AAPL,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,130.03025817871094,89880900
2021-02-03,MSFT,239.57000732421875,245.08999633789062,239.25999450683594,243.0,232.13441467285156,27158100
2021-02-03,NVDA,13.63599967956543,13.931750297546387,13.516500473022461,13.530500411987305,13.476119041442871,245408000
2021-02-03,TSLA,292.3399963378906,292.6933288574219,284.35333251953125,284.89666748046875,284.89666748046875,55030500
2021-02-04,AAPL,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,133.3795166015625,84183100
2021-02-04,MSFT,242.66000366210938,243.24000549316406,240.3699951171875,242.00999450683594,231.1886749267578,25296100
2021-02-04,NVDA,13.531000137329102,13.673500061035156,13.337750434875488,13.664250373840332,13.609332084655762,201340000
2021-02-04,TSLA,285.0,285.5,277.8066711425781,283.3299865722656,283.3299865722656,47438100
2021-02-05,AAPL,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,132.96632385253906,75693800
2021-02-05,MSFT,242.22999572753906,243.27999877929688,240.4199981689453,242.1999969482422,231.37017822265625,18054800
2021-02-05,NVDA,13.725000381469727,13.737250328063965,13.54574966430664,13.590999603271484,13.536375045776367,169152000
2021-02-05,TSLA,281.6666564941406,288.25665283203125,279.65667724609375,284.07666015625,284.07666015625,55699800
2021-02-08,AAPL,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,133.1121826171875,71297200
2021-02-08,MSFT,243.14999389648438,243.67999267578125,240.80999755859375,242.47000122070312,231.6280975341797,22211900
2021-02-08,NVDA,13.727250099182129,14.473750114440918,13.727250099182129,14.438750267028809,14.380721092224121,434624000
2021-02-08,TSLA,289.8900146484375,292.5899963378906,284.9166564941406,287.8066711425781,287.8066711425781,60485100
2021-02-09,AAPL,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,132.23715209960938,76774200
2021-02-09,MSFT,241.8699951171875,244.75999450683594,241.3800048828125,243.77000427246094,232.87001037597656,23565000
2021-02-09,NVDA,14.340749740600586,14.583250045776367,14.22249984741211,14.263250350952148,14.205924034118652,287560000
2021-02-09,TSLA,285.0400085449219,286.6000061035156,280.5833435058594,283.1533203125,283.1533203125,45473100
2021-02-10,AAPL,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,131.6343536376953,73046600
2021-02-10,MSFT,245.0,245.9199981689453,240.88999938964844,242.82000732421875,231.96246337890625,22186700
2021-02-10,NVDA,14.463250160217285,14.904999732971191,14.341500282287598,14.764249801635742,14.704913139343262,485352000
2021-02-10,TSLA,281.21331787109375,281.6066589355469,266.67333984375,268.2733459472656,268.2733459472656,108648300
2021-02-11,AAPL,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,131.38157653808594,64280000
2021-02-11,MSFT,244.77999877929688,245.14999389648438,242.14999389648438,244.49000549316406,233.5578155517578,15751100
2021-02-11,NVDA,14.980250358581543,15.272250175476074,14.925000190734863,15.250749588012695,15.18945598602295,450828000
2021-02-11,TSLA,270.8133239746094,276.6266784667969,267.24334716796875,270.5533447265625,270.5533447265625,64868400
2021-02-12,AAPL,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,131.6148681640625,60145100
2021-02-12,MSFT,243.92999267578125,245.3000030517578,242.72999572753906,244.99000549316406,234.035400390625,16561100
2021-02-12,NVDA,15.050000190734863,15.291250228881836,14.774999618530273,14.961250305175781,14.901121139526367,374756000
2021-02-12,TSLA,267.086669921875,272.4433288574219,261.77667236328125,272.0400085449219,272.0400085449219,71304900
2021-02-16,AAPL,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,129.49537658691406,80576300
2021-02-16,MSFT,245.02999877929688,246.1300048828125,242.9199981689453,243.6999969482422,232.80311584472656,26728500
2021-02-16,NVDA,15.064249992370605,15.3725004196167,14.949999809265137,15.330249786376953,15.268638610839844,321960000
2021-02-16,TSLA,272.6666564941406,273.6666564941406,264.14666748046875,265.40667724609375,265.40667724609375,59406900
2021-02-17,AAPL,131.25,132.22000122070312,129.47000122070312,130.83999633789062,127.21056365966797,97918500
2021-02-17,MSFT,241.32000732421875,244.30999755859375,240.94000244140625,244.1999969482422,233.8179931640625,21653500
2021-02-17,NVDA,15.170999526977539,15.22350025177002,14.779999732971191,14.906000137329102,14.84609317779541,274756000
2021-02-17,TSLA,259.6966552734375,266.61334228515625,254.00332641601562,266.04998779296875,266.04998779296875,77989500
2021-02-18,AAPL,129.1999969482422,130.0,127.41000366210938,129.7100067138672,126.11194610595703,96856700
2021-02-18,MSFT,241.8000030517578,243.92999267578125,240.86000061035156,243.7899932861328,233.4254608154297,16925600
2021-02-18,NVDA,14.729000091552734,14.873250007629395,14.574999809265137,14.829000473022461,14.769401550292969,233868000
2021-02-18,TSLA,260.29998779296875,264.89666748046875,258.75665283203125,262.4599914550781,262.4599914550781,53871300
2021-02-19,AAPL,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,126.26744842529297,87668800
2021-02-19,MSFT,243.75,243.86000061035156,240.17999267578125,240.97000122070312,230.725341796875,25262600
2021-02-19,NVDA,15.024499893188477,15.177000045776367,14.846750259399414,14.92650032043457,14.866510391235352,271724000
2021-02-19,TSLA,265.0,265.5966796875,259.1233215332031,260.4333190917969,260.4333190917969,56874900
2021-02-22,AAPL,128.00999450683594,129.72000122070312,125.5999984741211,126.0,122.50482177734375,103916400
2021-02-22,MSFT,237.4199981689453,237.92999267578125,232.39999389648438,234.50999450683594,224.54002380371094,36446900
2021-02-22,NVDA,14.774749755859375,15.13325023651123,14.324999809265137,14.35575008392334,14.298054695129395,325884000
2021-02-22,TSLA,254.2133331298828,256.1666564941406,236.73333740234375,238.1666717529297,238.1666717529297,111809100
2021-02-23,AAPL,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,122.36869812011719,158273000
2021-02-23,MSFT,230.3300018310547,234.8300018310547,228.72999572753906,233.27000427246094,223.35276794433594,30228700
2021-02-23,NVDA,14.075249671936035,14.238750457763672,13.38949966430664,14.142000198364258,14.085163116455078,391780000
2021-02-23,TSLA,220.7100067138672,237.8699951171875,206.3333282470703,232.94667053222656,232.94667053222656,199820700
2021-02-24,AAPL,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,121.87286376953125,111039900
2021-02-24,MSFT,230.00999450683594,235.1999969482422,229.0,234.5500030517578,224.57826232910156,26339700
2021-02-24,NVDA,14.122750282287598,14.506750106811523,13.755999565124512,14.49899959564209,14.440726280212402,448320000
2021-02-24,TSLA,237.28334045410156,248.3333282470703,231.38999938964844,247.33999633789062,247.33999633789062,110301000
2021-02-25,AAPL,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,117.63380432128906,148199500
2021-02-25,MSFT,232.0800018310547,234.58999633789062,227.8800048828125,228.99000549316406,219.25466918945312,39542200
2021-02-25,NVDA,14.045499801635742,14.374750137329102,13.2162504196167,13.307499885559082,13.254015922546387,824436000
2021-02-25,TSLA,242.0500030517578,245.73666381835938,223.52667236328125,227.4066619873047,227.4066619873047,117071700
2021-02-26,AAPL,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,117.89630889892578,164560400
2021-02-26,MSFT,231.52999877929688,235.3699951171875,229.5399932861328,232.3800048828125,222.50054931640625,37819200
2021-02-26,NVDA,13.7524995803833,13.854499816894531,13.361000061035156,13.714500427246094,13.659381866455078,500932000
2021-02-26,TSLA,233.3333282470703,235.56666564941406,219.836669921875,225.1666717529297,225.1666717529297,123267600
2021-03-01,AAPL,123.75,127.93000030517578,122.79000091552734,127.79000091552734,124.24517822265625,116307900
2021-03-01,MSFT,235.89999389648438,237.47000122070312,233.14999389648438,236.94000244140625,226.86668395996094,25324000
2021-03-01,NVDA,13.875,13.925000190734863,13.553250312805176,13.841750144958496,13.78611946105957,353184000
