Date,Ticker,Sentiment_Mean,Sentiment_Std,Headline_Count
2021-02-01,AAPL,-0.15379976,0.23551,5
2021-02-01,MSFT,0.16188341,0.79323775,2
2021-02-01,NVDA,-0.65717775,0.36508965,2
2021-02-01,TSLA,0.23714289,0.6208068,11
2021-02-02,AAPL,0.022793416,0.5543057,4
2021-02-02,MSFT,-0.9683831,0.0,1
2021-02-02,NVDA,-0.94037855,0.0,1
2021-02-02,TSLA,-0.2901972,0.4654688,10
2021-02-03,AAPL,-0.25691277,0.43509403,5
2021-02-03,MSFT,0.049415853,0.6318799,9
2021-02-03,TSLA,0.34223396,0.3182066,8
2021-02-04,AAPL,0.38967967,0.5820256,4
2021-02-04,MSFT,0.16792093,0.0,1
2021-02-04,TSLA,0.24994805,0.44851404,4
2021-02-05,AAPL,0.30312946,0.46304902,8
2021-02-05,MSFT,0.7786804,0.0,1
2021-02-05,NVDA,0.5342049,0.0,1
2021-02-05,TSLA,0.199928,0.5482945,7
2021-02-06,AAPL,-0.9226801,0.0,1
2021-02-06,MSFT,0.06537458,0.0,1
2021-02-06,NVDA,0.06537458,0.0,1
2021-02-06,TSLA,-0.09760259,0.40050113,4
2021-02-07,AAPL,0.7242171,0.0,1
2021-02-07,TSLA,0.19477724,0.41827837,4
2021-02-08,AAPL,0.15996777,0.5811808,5
2021-02-08,MSFT,0.7535813,0.0,1
2021-02-08,NVDA,0.15872669,0.7260061,3
2021-02-08,TSLA,0.16644235,0.32387903,10
2021-02-09,AAPL,-0.52211446,0.34161842,3
2021-02-09,MSFT,0.20681304,0.49770865,4
2021-02-09,TSLA,0.072441645,0.6357934,11
2021-02-10,AAPL,0.17568247,0.46241167,6
2021-02-10,MSFT,-0.17146306,0.3181944,3
2021-02-10,NVDA,0.14178005,0.0,1
2021-02-10,TSLA,0.16888632,0.49076393,11
2021-02-11,AAPL,-0.19955917,0.4194946,6
2021-02-11,MSFT,0.24795699,0.4825309,3
2021-02-11,NVDA,0.4265093,0.70821506,4
2021-02-11,TSLA,-0.06433298,0.6052754,10
2021-02-12,AAPL,0.045533642,0.58586544,6
2021-02-12,MSFT,0.34024712,0.18057409,2
2021-02-12,NVDA,-0.77413726,0.0,1
2021-02-12,TSLA,0.18939795,0.3091546,10
2021-02-13,MSFT,0.0064695273,0.0,1
2021-02-13,TSLA,-0.35689917,0.4253546,5
2021-02-14,AAPL,-0.09142717,0.6837956,3
2021-02-14,MSFT,0.49136075,0.0,1
2021-02-14,NVDA,0.40629014,0.8653387,3
2021-02-14,TSLA,0.53609335,0.538202,2
2021-02-15,AAPL,0.08247778,0.0,1
2021-02-15,TSLA,0.21228299,0.40952748,5
2021-02-16,AAPL,-0.10385214,0.45392218,10
2021-02-16,MSFT,0.5030893,0.5973902,2
2021-02-16,NVDA,0.8533143,0.0,1
2021-02-16,TSLA,0.18290377,0.4917699,10
2021-02-17,AAPL,-0.19883299,0.63884175,7
2021-02-17,MSFT,-0.07134334,0.5285693,6
2021-02-17,NVDA,0.9242689,0.0,1
2021-02-17,TSLA,0.2497592,0.5452716,9
2021-02-18,AAPL,0.18600191,0.65762603,3
2021-02-18,MSFT,-0.2370431,0.36007553,3
2021-02-18,NVDA,-0.3507258,0.7931727,2
2021-02-18,TSLA,-0.0619764,0.4578095,11
2021-02-19,AAPL,-0.28113547,0.4479396,6
2021-02-19,MSFT,0.264653,0.41003957,4
2021-02-19,TSLA,-0.12455863,0.5656615,7
2021-02-20,AAPL,-0.91920334,0.0,1
2021-02-20,TSLA,0.4937272,0.33794406,5
2021-02-21,AAPL,-0.63737154,0.0,1
2021-02-21,MSFT,0.15009561,0.0,1
2021-02-21,TSLA,-0.22250505,0.6289025,3
2021-02-22,AAPL,-0.19218256,0.7863997,9
2021-02-22,MSFT,-0.20946762,0.33288914,2
2021-02-22,NVDA,-0.06438293,0.6124403,3
2021-02-22,TSLA,0.07690344,0.5339736,10
2021-02-23,AAPL,0.042760234,0.488002,3
2021-02-23,MSFT,-0.25608978,0.20844857,4
2021-02-23,NVDA,0.029576028,0.0,1
2021-02-23,TSLA,-0.19962995,0.6803923,12
2021-02-24,AAPL,0.0001978064,0.50533503,8
2021-02-24,MSFT,0.71901864,0.28452244,3
2021-02-24,NVDA,0.27922106,0.57413954,6
2021-02-24,TSLA,-0.07831492,0.7064884,10
2021-02-25,AAPL,-0.12708737,0.4493924,2
2021-02-25,MSFT,-0.27509558,0.24007718,2
2021-02-25,NVDA,-0.09007031,0.8080789,7
2021-02-25,TSLA,-0.15852818,0.73716176,8
2021-02-26,AAPL,-0.13628031,0.68971,4
2021-02-26,MSFT,0.022359641,0.0,1
2021-02-26,NVDA,-0.09576076,0.17767079,2
2021-02-26,TSLA,-0.31934908,0.68725526,9
2021-02-27,AAPL,0.25619963,0.09085663,3
2021-02-27,MSFT,0.020749006,0.0,1
2021-02-27,TSLA,0.07521218,0.0,1
2021-02-28,AAPL,0.15179361,0.37644163,2
2021-02-28,TSLA,-0.044206377,0.09925579,2
2021-03-01,AAPL,0.1974307,0.3753048,7
2021-03-01,MSFT,0.060408965,0.3516192,4
2021-03-01,TSLA,-0.13947205,0.39688957,9
2021-03-02,AAPL,0.040487297,0.3930943,4
2021-03-02,MSFT,-0.21612439,0.3935238,2
2021-03-02,TSLA,-0.24072666,0.636209,10
2021-03-03,AAPL,-0.22747508,0.46837118,8
2021-03-03,MSFT,-0.40086105,0.4286536,3
